"name","address1_composite","address2_composite","telephone1","websiteurl","chc_256characterstatement","sl_federalein","chc_ntee1","chc_ntee2","chc_ntee3"
"National Kidney Foundation, Ohio, Mid Atlantic, Greater Cincinnati","3189  Princeton Rd No 258
Hamilton, OH 45011
USA","2800 Corporate Exchange Dr Ste 206
Columbus, OH 43231
USA","513-961-8105","http://www.kidney.org","We are the largest, most effective, and longstanding organization fighting kidney disease, a growing public health problem affecting 1 in 3 Americans and their families.","131673104","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"National Kidney Foundation, Ohio, Mid Atlantic, Central Ohio","1491 Polaris Pkwy No 268
Columbus, OH 43240
USA",,"614-882-6184","http://www.kidney.org","We are the largest, most effective, and longstanding organization fighting kidney disease, a growing public health problem affecting 1 in 3 Americans and their families.","131673104","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"National Kidney Foundation, Pennsylvania, Mid Atlantic, Alleghenies","2403 Sidney St Ste 230
Pittsburgh, PA 15203
USA","111 S Independence Mall Ste 411
Philadelphia, PA 19106
USA","412-261-4115","http://www.kidney.org","We are the largest, most effective, and longstanding organization fighting kidney disease, a growing public health problem affecting 1 in 3 Americans and their families.","131673104","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"National Kidney Foundation, Pennsylvania, Mid Atlantic, Philadelphia Delaware Valley","1900 Market St Ste 800
Philadelphia, PA 19103
USA",,"215-923-8611","http://www.kidney.org","We are the largest, most effective, and longstanding organization fighting kidney disease, a growing public health problem affecting 1 in 3 Americans and their families.","131673104","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"National Kidney Foundation, South Carolina, Texas and the Southeast, Carolinas South Carolina","701 Gervais St Ste 150-195
Columbia, SC 29201
USA","270 Peachtree St Ste 1040
Atlanta, GA 30303
USA","803-799-3870","http://www.kidney.org","We are the largest, most effective, and longstanding organization fighting kidney disease, a growing public health problem affecting 1 in 3 Americans and their families.","131673104","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"National Kidney Foundation, Tennessee, Mid Atlantic, East Tennessee","5923 Kingston Pike Ste 130
Knoxville, TN 37919
USA","2800 Corporate Exchange Dr Ste 206
Columbus, OH 43231
USA","865-221-2121","http://www.kidney.org","We are the largest, most effective, and longstanding organization fighting kidney disease, a growing public health problem affecting 1 in 3 Americans and their families.","131673104","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"National Kidney Foundation, Tennessee, West Tennessee","4728 Spottswood Ave No 226
Memphis, TN 38117
USA",,"901-683-6185","http://www.kidney.org","We are the largest, most effective, and longstanding organization fighting kidney disease, a growing public health problem affecting 1 in 3 Americans and their families.","131673104","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"Families of SMA","925 Busse Rd
Elk Grove Village, IL 60007
USA",,"800-886-1762","http://www.curesma.org","Leading the way to a world without spinal muscular atrophy, the #1 genetic cause of death for infants. We fund and direct comprehensive research that drives breakthroughs in treatment and care, and we provide families the support they need for today.","363320440","G  Disease, Disorders, Medical Disciplines","H  Medical Research","E  Health General & Rehabilitative"
"American Heart Association, New Jersey, Eastern States Affiliate, Robbinsville","1 Union St Ste 301
Robbinsville, NJ 08691
USA",,"609-208-0020","http://www.heart.org","We fight heart disease and stroke – the world’s two leading causes of death – through innovative research, public education and training, and changes to public policy.","135613797","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Lung Association of District of Columbia, Mid-Atlantic Region, DC","1331 Pennsylvania Ave NW Ste 1425 N
Washington, DC 20004
USA","55 W Wacker Dr Ste 1150
Chicago, IL 60601
USA","202-719-2810","http://www.lung.org","Serving the Mid-Atlantic Region our mission is to save lives by improving long health and preventing lung disease through programs, research, education, advocacy.","131632524","B  Educational Institutions","C  Environmental Quality Protection, Beautification","H  Medical Research"
"Cystic Fibrosis Foundation, Florida, Central Florida Orlando Chapter, Winter Park","37 N Orange Ave Ste 211
Orlando, FL 32801
USA",,"407-339-2978","https://www.cff.org/centralfl","Cystic Fibrosis Foundation’s mission is to cure cystic fibrosis & to provide people with the disease the opportunity to lead productive lives by funding research & drug development, promoting individualized treatment & ensuring access to specialized care.","131930701","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"Epilepsy Foundation, Alabama","3100 Lorna Rd Ste 300
Vestavia Hills, AL 35216
USA",,"205-453-8291","https://epilepsyalabama.org/","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Epilepsy Foundation, Ohio, Dayton","120 W Second St Ste 425
Dayton, OH 45402
USA",,"937-401-3908","https://www.epilepsy.com","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Epilepsy Foundation, Indiana","1100 W 42nd St Ste 140
Indianapolis, IN 46112
USA",,"937-401-3908","https://www.epilepsy.com","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Cystic Fibrosis Foundation, Florida, North Florida Jacksonville Chapter, Jacksonville","25 N Market St Ste 212 
Jacksonville, FL 32202
USA",,"904-733-3560","https://www.cff.org/northflorida","Cystic Fibrosis Foundation’s mission is to cure cystic fibrosis & to provide people with the disease the opportunity to lead productive lives by funding research & drug development, promoting individualized treatment & ensuring access to specialized care.","131930701","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"Cystic Fibrosis Foundation, Florida, Southwest Florida Tampa Chapter, Tampa","5100 W Kennedy Blvd Ste 195
Tampa, FL 33609
USA",,"813-374-9041","https://www.cff.org/southwestfl","Cystic Fibrosis Foundation’s mission is to cure cystic fibrosis & to provide people with the disease the opportunity to lead productive lives by funding research & drug development, promoting individualized treatment & ensuring access to specialized care.","131930701","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"Cystic Fibrosis Foundation, Louisiana, Louisiana Baton Rouge Chapter, Baton Rouge","10101 Siegen Ln Ste 2A
Baton Rouge, LA 70810
USA",,"225-769-9994","https://www.cff.org/batonrouge","Cystic Fibrosis Foundation’s mission is to cure cystic fibrosis & to provide people with the disease the opportunity to lead productive lives by funding research & drug development, promoting individualized treatment & ensuring access to specialized care.","131930701","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"Cystic Fibrosis Foundation, North Carolina, North Carolina Charlotte Chapter, Charlotte","4600 Park Rd Ste 100
Charlotte, NC 28209
USA",,"704-321-7852","https://www.cff.org/charlotte","Cystic Fibrosis Foundation’s mission is to cure cystic fibrosis & to provide people with the disease the opportunity to lead productive lives by funding research & drug development, promoting individualized treatment & ensuring access to specialized care.","131930701","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"Cystic Fibrosis Foundation, New York, Greater New York Long Island Chapter, Melville","1 Huntington Quadrangle Ste 3N06
Melville, NY 11747
USA",,"516-827-1290","https://www.cff.org/chapters/greater-new-york-chapter","Cystic Fibrosis Foundation’s mission is to cure cystic fibrosis & to provide people with the disease the opportunity to lead productive lives by funding research & drug development, promoting individualized treatment & ensuring access to specialized care.","131930701","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"Cystic Fibrosis Foundation, New York, Greater New York Westchester Chapter, White Plains","222 Bloomingdale Rd Ste 210
White Plains, NY 10605
USA",,"914-993-1460","https://www.cff.org/chapters/greater-new-york-chapter","Cystic Fibrosis Foundation’s mission is to cure cystic fibrosis & to provide people with the disease the opportunity to lead productive lives by funding research & drug development, promoting individualized treatment & ensuring access to specialized care.","131930701","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"Victory Ministries","3964 E Main St
Whitehall, OH 43213
USA",,"614-252-2500","https://www.victorycoh.org/","Established in 1983, our pantry distributes 20,000 lbs. of food and 2 tons of clothing monthly. In addition, we provide counseling, reading tutors and free medical services for those in need in Central Ohio.","311117522","F  Mental Health, Crisis Intervention","P  Human Services","X  Religion, Spiritual Development"
"Hospice of Central Ohio","2269 Cherry Valley Rd
Newark, OH 43055
USA",,"740-788-1400","https://hospiceofcentralohio.org","Our mission is to celebrate the lives of those we have the privilege of serving by providing superior care and superior services to each patient and family.","311059756","E  Health General & Rehabilitative","F  Mental Health, Crisis Intervention","W  Public, Society Benefit"
"National Multiple Sclerosis Society, Idaho-Nevada-Utah","6975 Union Park Ave Ste 600
Cottonwood, UT 84047
USA",,"800-344-4867","http://www.nationalmssociety.org","People affected by MS can live their best lives as we stop MS in its tracks, restore what has been lost and end MS forever.","135661935","H  Medical Research","P  Human Services","E  Health General & Rehabilitative"
"Oklahoma Project Woman, Inc., Oklahoma City","1905 NW 56th St
Oklahoma City, OK 73118
USA",,"877-550-7465","http://www.oklahomaprojectwoman.org","Statewide non-profit agency that provides access to free mammograms, biopsies and surgeries for women and men with no health insurance and limited financial resources.  Serves people of all ages with a primary focus on women 40 years and older, ","731616817","E  Health General & Rehabilitative","P  Human Services","W  Public, Society Benefit"
"Leukemia Research Foundation, Inc.","191 Waukegan Ste 105
Northfield, IL 60093
USA",,"847-424-0600","https://leukemiarf.org","Funds research to find a cure for leukemia and other blood cancers and provides emotional, educational and financial support to patients and their families.The Leukemia Research Foundation’s mission is to cure leukemia by funding innovative research, and to support patients and families. With more than $83M raised in support of this mission, we are on the path to finding a cure – and won’t stop until we do.","366102182","H  Medical Research","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Crohn's & Colitis Foundation, Nevada, Nevada Chapter","55 Prominent Bluff Ct
Henderson, NV 89002
USA",,"602-734-1392","http://www.crohnscolitisfoundation.org","Crohn's & Colitis Foundation's mission is to cure Crohn’s disease and ulcerative colitis (UC) and to improve the quality of life for patients by funding research and providing support and education resources for patients and professionals.","136193105","G  Disease, Disorders, Medical Disciplines","H  Medical Research","E  Health General & Rehabilitative"
"Friends of the Mississippi River","106 W Water St Ste 600
Saint Paul, MN 55107
USA",,"651-222-2193","https://fmr.org/","Friends of the Mississippi River engages people to protect, restore and enhance the Mississippi River and its watershed in the Twin Cities region. ","411763226","C  Environmental Quality Protection, Beautification","Z  Unknown","Z  Unknown"
"American Cancer Society, Nebraska, North Region, Omaha Market","9850 Nicholas St Ste 200
Omaha, NE 68114
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","402-393-5801","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"American Cancer Society, Massachusetts, Northeast Region, Boston Market","125 S Huntington Ave
Boston, MA 02130
USA","3380 Chastain Meadows Pkwy NW
Kennesaw, GA 30144
USA","508-270-4600","http://www.cancer.org","At the American Cancer Society, we do much more than breakthrough research. We offer free rides to treatment, a 24/7 helpline, and free lodging near hospitals when treatment is far from home. That’s how we’re attacking cancer from every angle.","131788491","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","H  Medical Research"
"ALS Association, Alabama, Alabama Chapter","300 Cahaba Park Cir Ste 209
Birmingham, AL 35242
USA","1300 Wilson Blvd Ste 600
Arlington, VA 22209
USA","205-637-7833","https://www.als.org/alabama","The Alabama Chapter supports people living with ALS and their loved ones in Alabama through services and education. We are leading the fight to treat and cure ALS through research and advocacy while also empowering people with Lou Gehrig's Disease.","133271855","E  Health General & Rehabilitative","H  Medical Research","P  Human Services"
"[Training] Debbie's Charity","1199 N Fairfax St Ste 600
Alexandria, VA 22314
USA",,"414-323-8154",,,"136167225",,,
"Epilepsy Foundation, Iowa","1111 9th St Ste 370
Des Moines, IA 50314
USA",,"515-259-8528","https://www.epilepsyiowa.org/","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Epilepsy Foundation, Mississippi","5 Old River Pl Ste 105
Jackson, MS 39202
USA",,"205-453-8291","https://www.epilepsy.com","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"[Training] Test Account 123","w34234
23423, fas adfasdfa",,"555-555-5555","https://www.google.com",,,"V  Social Science Research Institutes","B  Educational Institutions","C  Environmental Quality Protection, Beautification"
"Epilepsy Foundation of Greater Orange County","21163 Newport Coast Dr Ste 126
Newport Coast, CA 92657
USA",,"657-315-4100","https://epilepsyorangecounty.org/","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative","P  Human Services"
"Epilepsy Foundation, Florida","1046 E Brandon Blvd EP-3
Brandon, FL 33511
USA",,"800-332-1000","https://epilepsyfoundationfl.org/","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative","P  Human Services"
"Epilepsy Foundation, West Virginia","445 W Main St Ste 253
Clarksburg, WV 26301
USA","8301 Professional Pl W Ste 230
Landover, MD 20785
USA","410-454-0917","https://www.epilepsy.com","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","G  Disease, Disorders, Medical Disciplines","E  Health General & Rehabilitative","P  Human Services"
"A Kid Again, Indiana, Indianapolis","8275 Allison Pointe Trail Ste 220
Indianapolis, IN 46250
USA","777 G Dearborn Park Ln
Columbus, OH 43085
USA","317-295-3178 ext 3178","http://www.akidagain.org","A Kid Again fosters hope, happiness and healing for families raising kids with life-threatening illnesses.","311440073","P  Human Services","W  Public, Society Benefit","T  Philanthropy, Voluntarism, and Grantmaking"
"National Multiple Sclerosis Society, California, Northern CA, Sacramento","4153 Northgate Blvd Ste 6
Sacramento, CA 95834
USA",,"916-922-4583","https://www.nationalmssociety.org","People affected by MS can live their best lives as we stop MS in its tracks, restore what has been lost and end MS forever.","135661935","G  Disease, Disorders, Medical Disciplines","H  Medical Research","E  Health General & Rehabilitative"
"Alzheimer's Tennessee, Inc., West TN, Jackson","38 Old Hickory Cove Ste B 175
Jackson, TN 38305
USA","5801 Kingston Pike
Knoxville, TN 37919
USA","731-694-8065","http://www.alzTennessee.org","To serve those facing Alzheimer's disease and related dementias, to promote brain health through education, and to champion global research, prevention and treatment efforts.","621206312","G  Disease, Disorders, Medical Disciplines","H  Medical Research","P  Human Services"
"A Little Help","2755 S Locust St Ste 220
Denver, CO 80222
USA",,"720-242-9032","https://www.alittlehelp.org","A Little Help's mission is to connect neighbors to help older adults thrive.","830494129","P  Human Services","S  Community Improvement, Capacity Building","W  Public, Society Benefit"
"A Precious Child","7051 W 118th Ave
Broomfield, CO 80020
USA",,"303-466-4272","https://www.apreciouschild.org","Helping children and families face difficult life challenges, such as abuse and neglect, crisis situations, and poverty serving over 57,000 Denver Metro children per year.","263349334","P  Human Services","O  Youth Development","F  Mental Health, Crisis Intervention"
"Bienvenidos Food Bank","3810 Pecos St
PO Box 11948
Denver, CO 80211
USA",,"303-433-6328","https://www.bienvenidosfoodbank.org","No family should go hungry in our community.  Bienvenidos Food Bank offers innovative program from our store-front pantry, Mobile Pantry,  Grocery Delivery and Neighborhood partnerships to ensure that no one goes without healthy food.  ","742543251","K  Agriculture, Food, Nutrition","Z  Unknown","Z  Unknown"
"Canine Partners of the Rockies","651 Potomac St Ste E
Aurora, CO 80011
USA",,"303-364-9040","https://www.cpotr.org","Canine Partners of the Rockies enables Coloradans with disabilities to lead more independent and gratifying lives by partnering them with highly skilled service (assistance) dogs.","753025982","D  Animal related","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Colorado Christian Services","3959 E Arapahoe Rd Ste 200
Centennial, CO 80122
USA",,"303-761-7236","https://www.christianservices.org","A Colorado licensed Child Placement Agency; we offer free counseling to pregnant women, foster care to waiting children, and adoption services to families.","840597782","P  Human Services","Z  Unknown","Z  Unknown"
"Colorado Coalition Against Sexual Assault","1330 Fox St Ste 2
PO Box 40350
Denver, CO 80204
USA",,"303-839-9999","https://www.ccasa.org","CCASA supports our members, partners, and the broader community through training, technical assistance, resources, education, systems change, and public policy advocacy.","841037788","R  Civil Rights, Social Action, Advocacy","P  Human Services","Y  Mutual/Membership Benefit Organizations, Other"
"Community Table","8555 W 57th Ave
Arvada, CO 80002
USA",,"303-424-6685","https://www.cotable.org","Since 1982, we have been building a stronger, more resilient community by providing nourishment and support to families in need.","742250374","K  Agriculture, Food, Nutrition","P  Human Services","L  Housing, Shelter"
"Denver Area Youth For Christ","7670 S Vaughn Ct
PO Box 101600
Englewood, CO 80112
USA",,"303-843-0370","https://www.yfcdenver.org","DAYFC exists to come alongside young people in the Denver metro region and show them the love of Jesus Christ.  ","840481690","O  Youth Development","F  Mental Health, Crisis Intervention","X  Religion, Spiritual Development"
"Denver VOICE","1600 Downing St Ste 230
PO Box 1931
Denver, CO 80218
USA",,"720-320-2155","https://www.denvervoice.org","Your support results in positive action to combat poverty and provides economic, educational, and empowerment tools to  help individuals regain control of their lives.","841415056","W  Public, Society Benefit","J  Employment, Job Related","P  Human Services"
"Help & Hope Center","1638 Park St
Castle Rock, CO 80109
USA",,"303-688-1114","https://www.helpandhopecenter.org","Hope & Help Center provides emergency services-food, rent, and utility assistance-to community members who are unemployed, underemployed, on fixed incomes, disabled, and elderly.","742395223","P  Human Services","K  Agriculture, Food, Nutrition","L  Housing, Shelter"
"Illuminate Colorado","1530 W 13th Ave Ste 118
Denver, CO 80204
USA",,"303-413-3460","https://www.illuminatecolorado.org","Illuminate Colorado is a statewide 501(c)(3) organization working to strengthen families organizations, and communities to prevent child maltreatment.","571185029","O  Youth Development","P  Human Services","W  Public, Society Benefit"
"Integrated Family Community Services","3370 S Irving St
Englewood, CO 80110
USA",,"303-789-0501","https://www.ifcs.org","Provides life sustaining programs and services to those experiencing economic hardship in our community, as they strive to achieve economic security.","840579740","P  Human Services","K  Agriculture, Food, Nutrition","L  Housing, Shelter"
"Metro Caring","1100 E 18th Ave
Denver, CO 80218
USA",,"303-860-7200","https://www.metrocaring.org","As Denver's frontline anti-hunger organization, Metro Caring works with our community to meet people’s immediate need for nutritious food while building a movement to address the root causes of hunger.","846116951","P  Human Services","K  Agriculture, Food, Nutrition","R  Civil Rights, Social Action, Advocacy"
"National Sports Center for the Disabled","1801 Mile High Stadium Cir Ste 1500
Denver, CO 80204
USA",,"303-515-6723","https://www.nscd.org","High-quality, affordable adaptive sports programs for individuals with disabilities. We use adaptive outdoor recreational sports to improve physical fitness, independence, and quality of life.","840738419","N  Recreation, Sports, Leisure, Athletics","P  Human Services","O  Youth Development"
"Ralston House","10795 W 58th Ave
Arvada, CO 80002
USA",,"720-898-6741","https://www.ralstonhouse.org","Working with law enforcement, human services, and district attorney offices, we provide a safe place to investigate child abuse and ensure victim services for children.","841222085","I  Crime, Legal Related","O  Youth Development","R  Civil Rights, Social Action, Advocacy"
"Rocky Mountain Multiple Sclerosis Center","8845 Wagner St
Westminster, CO 80031
USA",,"303-788-4030","https://www.mscenter.org","Improving the quality of life of individuals and their families living with multiple sclerosis and related neurological diseases through care, support, education and research.","840795455","G  Disease, Disorders, Medical Disciplines","H  Medical Research","P  Human Services"
"Sacred Heart House of Denver","2844 Lawrence St
Denver, CO 80205
USA",,"303-296-6686","https://sacredhearthouse.com/","Our Continuum of Services enables single mothers with children and single women experiencing homelessness to move to stable housing and achieve and maintain self-sufficiency.","840889359","L  Housing, Shelter","P  Human Services","K  Agriculture, Food, Nutrition"
"SafeHouse Denver","1649 N Downing St
Denver, CO 80218
USA",,"303-318-9959","https://www.safehouse-denver.org","With your help, SafeHouse Denver provides emergency shelter, extended stay housing, counseling, and more to survivors of domestic violence and their children.","840745911","P  Human Services","L  Housing, Shelter","W  Public, Society Benefit"
"Step Denver","2029 Larimer St
Denver, CO 80205
USA",,"303-295-7837","https://www.stepdenver.org","Step Denver gives men with nowhere else to turn the opportunity to overcome addiction through sobriety, work, accountability, and community.","742345786","P  Human Services","W  Public, Society Benefit","L  Housing, Shelter"
"The Action Center","8755 W 14th Ave
Lakewood, CO 80215
USA",,"303-237-7704","https://www.theactioncenter.org","We provide an immediate and compassionate response to those facing a hardship in our community.","237019679","P  Human Services","K  Agriculture, Food, Nutrition","L  Housing, Shelter"
"Wapiyapi","191 University Blvd
Box 294
Denver, CO 80206
USA",,"720-621-7030","https://www.campwapiyapi.org","Wapiyapi provides free summer camp for children facing pediatric cancer with fun and laughter for patients and siblings.","841475930","P  Human Services","O  Youth Development","F  Mental Health, Crisis Intervention"
"We Don't Waste","5971 Broadway
Denver, CO 80216
USA",,"720-443-6113","https://www.wedontwaste.org","Nutritious food should go to people, not landfills. We Don’t Waste recovers quality food from the food industry and delivers it free to local nonprofits.","270585966","K  Agriculture, Food, Nutrition","C  Environmental Quality Protection, Beautification","P  Human Services"
"MoCrazy Strong Inc","2746 S 900 E
Salt Lake City, UT 84106
USA",,,"https://www.mocrazystrong.org/",,"873891631",,,
"Hands at Work in Africa (USA)","12935 Alcosta Blvd Ste 1066
San Ramon, CA 94583
USA",,"650-731-2626","https://www.handsatwork.org/","Join us in supporting local volunteers in Africa who are caring for their poorest neighbors by providing funds for food security, basic healthcare and education.","261213083","P  Human Services","S  Community Improvement, Capacity Building","X  Religion, Spiritual Development"
"Cavett Kids Foundation","730 W Wilshire Blvd Ste 109
Oklahoma City, OK 73116
USA",,"405-271-2271","https://www.cavettkids.org","Cavett Kids provides FREE camps and programs for children battling life-threatening illnesses. In everything we do, we strive to develop Character, Coping and Connection.","202025503","O  Youth Development","P  Human Services","S  Community Improvement, Capacity Building"
"Silence the Shame","3000 Old Alabama Rd
Alpharetta, GA 30022
USA",,"404-596-6146","https://www.silencetheshame.com","Silence the Shame is dedicated to eliminating mental health stigma, reducing health disparities, and improving rates of suicide among vulnerable populations.","822004573","F  Mental Health, Crisis Intervention","Z  Unknown","Z  Unknown"
"The Steve Fund","PO Box 9070
Providence, RI 02940
USA",,"401-249-0044","https://www.stevefund.org","The Steve Fund is dedicated to supporting the mental health and emotional well-being of young people of color.","474730275","O  Youth Development","Z  Unknown","Z  Unknown"
"Jack's Caregiver Coalition","7760 France Ave S Ste 1100
Bloomington, MN 55435
USA",,"612-547-6929","https://www.jackscaregiverco.org/","Improve the way guys think, feel, and act through every phase of their caregiving journey.","472305806","T  Philanthropy, Voluntarism, and Grantmaking","T  Philanthropy, Voluntarism, and Grantmaking","Z  Unknown"
"Ohio's Community Mercy Hospice","1830 N Limestone St
Springfield, OH 45503
USA",,"937-390-9665","https://www.communitymercyhospice.org/","Committed to providing superior hospice care and grief support services to terminally ill persons, their families and the community, regardless of the ability to pay.","310933339","E  Health General & Rehabilitative","F  Mental Health, Crisis Intervention","W  Public, Society Benefit"
"Ohio's Hospice LifeCare","1900 Akron Rd
Wooster, OH 44691
USA",,"330-264-4899","https://www.ohioshospicelifecare.org/","Committed to providing superior hospice care and grief support services to terminally ill persons, their families and the community, regardless of the ability to pay.","341352875","E  Health General & Rehabilitative","F  Mental Health, Crisis Intervention","W  Public, Society Benefit"
"Epilepsy Foundation, Alaska","2311 N 45th St Ste 134
Seattle, WA 98103
USA","3540 Crain Hwy Ste 675
Bowie, MD 20716
USA","206-487-4189","https://epilepsyalaska.org/","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Epilepsy Foundation, Arkansas","6834 Cantrell Rd Ste 1674
Little Rock, AR 72207
USA","3540 Crain Hwy Ste 675
Bowie, MD 20716
USA","515-259-8528","https://www.epilepsy.com","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Epilepsy Foundation, Louisiana","3436 Magazine St Ste 8141
New Orleans, LA 70115
USA",,"844-557-1378","https://www.epilepsy.com","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Epilepsy Foundation, Montana","2120 S Reserve Ste 1061
Missoula, MT 59801
USA","3540 Crain Hwy Ste 675
Bowie, MD 20716
USA","206-487-4189","https://www.epilepsy.com","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Epilepsy Foundation, New Jersey","3817 Crosswicks Hamilton Square Rd Ste 343
Hamilton, NJ 08691
USA",,"609-245-2378","https://www.epilepsy.com","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Epilepsy Foundation, New Mexico","933 San Mateo Blvd NE Ste 500 - 339
Albuquerque, NM 87108
USA","3540 Crain Hwy Ste 675
Bowie, MD 20716
USA","844-557-1380","https://www.epilepsy.com","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
"Epilepsy Foundation, North Carolina","3540 Crain Hwy Ste 675
Bowie, MD 20716
USA",,"844-557-1381","https://www.epilepsy.com","Epilepsy Foundation’s mission is to stop seizures & SUDEP, find a cure & overcome the challenges created by epilepsy through education, advocacy & research to accelerate new therapies, and to improve the lives of people impacted by epilepsy & seizures.","520856660","E  Health General & Rehabilitative","G  Disease, Disorders, Medical Disciplines","P  Human Services"
